from_id;to_id;walk_t;walk_d;pt_r_tt;pt_r_t;pt_r_d;pt_m_tt;pt_m_t;pt_m_d;car_r_t;car_r_d;car_m_t;car_m_d
5798974;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5798975;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5798976;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5798977;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5798978;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5798979;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5798980;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5798981;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5798982;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5798983;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5798984;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5798985;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5798986;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5798987;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5798988;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5800879;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5800880;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5800881;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5800882;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5800883;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5800884;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5800885;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5800886;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5800887;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5800888;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5800889;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5800890;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5800891;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5800892;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5800893;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5800894;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5800895;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5802783;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5802784;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5802785;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5802786;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5802787;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5802788;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5802789;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5802790;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5802791;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5802792;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5802793;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5802794;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5802795;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5802796;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5802797;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5802798;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5802799;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5802800;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5802801;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5804689;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5804690;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5804691;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5804692;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5804693;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5804694;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5804695;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5804696;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5804697;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5804698;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5804699;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5804700;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5804701;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5804702;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5804703;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5804704;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5804705;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5804706;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5804707;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5806593;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5806594;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5806595;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5806596;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5806597;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5806598;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5806599;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5806600;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5806601;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5806602;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5806603;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5806604;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5806605;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5806606;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5806607;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5806608;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5806609;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5806610;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5806611;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5806612;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5806613;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5808496;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5808497;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5808498;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5808499;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5808500;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5808501;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5808502;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5808503;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5808504;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5808505;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5808506;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5808507;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5808508;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5808509;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5808510;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5808511;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5808512;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5808513;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5808514;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5808515;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5808516;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5808517;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5808518;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5810399;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5810400;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5810401;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5810402;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5810403;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5810404;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5810405;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5810406;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5810407;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5810408;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5810409;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5810410;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5810411;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5810412;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5810413;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5810414;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5810415;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5810416;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5810417;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5810418;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5810419;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5810420;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5810421;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5810422;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5810423;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5810457;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5810458;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5810462;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5810463;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5810464;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5812300;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5812301;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5812302;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5812303;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5812304;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5812305;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5812306;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5812307;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5812308;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
