from_id;to_id;walk_t;walk_d;pt_r_tt;pt_r_t;pt_r_d;pt_m_tt;pt_m_t;pt_m_d;car_r_t;car_r_d;car_m_t;car_m_d
5785640;5991515;552;38634;178;150;51045;185;157;51045;63;46369;55;46347
5785641;5991515;533;37327;174;153;51250;185;160;51250;63;46580;55;46558
5785642;5991515;534;37407;174;154;51368;186;161;51368;70;45981;62;44183
5785643;5991515;539;37700;185;159;51661;191;166;51661;74;48538;66;46739
5787544;5991515;545;38144;161;143;50555;166;150;50555;62;45943;54;45921
5787545;5991515;546;38213;161;144;50624;170;151;50624;65;46230;57;46207
5787546;5991515;549;38439;178;147;50850;176;154;50850;68;45007;59;43209
5787547;5991515;532;37213;183;160;51749;188;167;51749;66;45399;58;43600
5787548;5991515;528;36988;175;156;51477;183;163;51477;65;45520;57;43721
5787549;5991515;530;37122;183;160;51769;188;167;51769;67;45763;59;43965
5787550;5991515;567;39705;244;224;50211;232;223;50931;71;48337;63;46538
5789447;5991515;512;35870;120;102;47788;140;110;47788;57;43754;49;43731
5789448;5991515;516;36150;120;103;47809;140;111;47809;58;44118;50;44096
5789449;5991515;521;36498;120;103;47869;140;111;47869;59;44544;51;44522
5789450;5991515;548;38380;172;146;50792;173;153;50792;63;44863;55;44841
5789451;5991515;549;38419;178;147;50830;176;154;50830;64;46190;56;46168
5789452;5991515;524;36650;175;154;48344;177;161;48344;66;44907;58;43108
5789453;5991515;524;36686;175;155;48380;177;162;48380;65;45084;57;43285
5789454;5991515;525;36773;175;156;48467;179;163;48467;65;45347;57;43549
5789455;5991515;528;36949;179;159;48643;181;166;48643;67;45568;58;43770
5789456;5991515;565;39544;238;222;50050;232;221;50770;69;48247;61;46448
5791353;5991515;520;36415;131;108;48148;140;115;48148;55;43344;48;43322
5791354;5991515;517;36183;120;104;47916;140;112;47916;56;43935;48;43913
5791355;5991515;517;36212;116;99;47577;140;107;47577;57;44116;49;44093
5791356;5991515;520;36400;120;104;47925;140;112;47925;60;44741;52;44719
5791357;5991515;521;36487;131;108;47993;141;115;47993;63;44855;55;44833
5791358;5991515;522;36538;175;153;48232;175;160;48232;66;44401;58;42603
5791359;5991515;519;36341;175;150;48035;175;157;48035;65;44724;56;42926
5791360;5991515;520;36395;175;151;48089;175;158;48089;67;45093;58;43294
5791361;5991515;525;36748;175;156;48442;179;163;48442;68;45447;60;43648
5791362;5991515;529;37059;183;160;48754;188;167;48754;70;45755;61;43957
5791363;5991515;565;39539;238;222;50045;232;221;50765;71;48143;63;46344
5793258;5991515;526;36801;136;114;48534;146;121;48534;58;44608;50;44586
5793259;5991515;521;36501;131;110;48234;145;117;48234;59;44448;51;44426
5793260;5991515;522;36536;131;110;48268;145;117;48268;59;44412;52;44390
5793261;5991515;517;36211;120;103;47713;140;111;47713;57;44193;49;44171
5793262;5991515;516;36106;120;103;47711;140;111;47711;60;44618;52;44596
5793263;5991515;516;36154;131;109;47294;147;116;47294;65;45724;57;45701
5793264;5991515;516;36085;169;146;47779;168;153;47779;66;44345;58;42547
5793265;5991515;516;36126;174;147;47820;171;154;47820;65;44678;57;42879
5793266;5991515;516;36135;174;147;47829;171;154;47829;68;44875;59;43076
5793267;5991515;527;36909;178;158;48603;181;165;48603;71;45670;63;43871
5793268;5991515;533;37307;187;164;49001;188;171;49001;72;45896;63;44098
5793269;5991515;563;39404;238;220;49911;230;219;50631;68;44709;59;42910
5793270;5991515;560;39224;238;217;49730;228;217;50450;70;47597;62;45799
5795164;5991515;527;36876;140;115;48609;146;122;48609;59;44732;51;44710
5795165;5991515;528;36958;141;116;48690;151;123;48690;64;46508;56;46486
5795166;5991515;527;36888;140;115;48621;146;122;48621;64;46358;56;46336
5795167;5991515;513;35885;120;104;47012;141;112;47012;58;44743;50;44721
5795168;5991515;513;35886;120;104;47012;141;112;47012;60;45305;52;45283
